iter	Logloss
0	0.6716906685
1	0.6480493709
2	0.633274339
3	0.6119960231
4	0.5940005592
5	0.5792737381
6	0.5606339831
7	0.5310467634
8	0.510487886
9	0.5017391239
10	0.4826353771
11	0.4684348761
12	0.4530574387
13	0.4372037725
14	0.4190977835
15	0.4103125492
16	0.4009793769
17	0.3945299048
18	0.3822244388
19	0.3655213404
20	0.3535836345
21	0.3417795853
22	0.3330432551
23	0.316179395
24	0.3016125098
25	0.2881159844
26	0.2772273392
27	0.2703919566
28	0.2574722361
29	0.2493995113
30	0.2391989617
31	0.2298658663
32	0.2218679704
33	0.2149489925
34	0.2098090801
35	0.197788808
36	0.1906317579
37	0.1859410187
38	0.183981122
39	0.1815489433
40	0.1785333862
41	0.1754751861
42	0.1711441439
43	0.1684588146
44	0.1646654321
45	0.1628057244
46	0.1615553446
47	0.1580092962
48	0.1544418743
49	0.1509295776
50	0.1483414819
51	0.1473643694
52	0.1450377142
