Features,Importance
slfr_irregularity,0.002580088093415783
ufsr_curl,0.0025377947502131146
ufsl_radius_of_end_region_2,0.0025249081802083996
afsl_md,0.0025212766562249514
fatl_dti_fa,0.0024942901795019633
slfl_ad,0.002484542764454262
fatl_total_radius_of_end_regions,0.0024545725250314896
slfr_diameter,0.0024332412254149537
afsl_elongation,0.002429366617378325
cfpr_elongation,0.002421003673357167
cfpl_area_of_end_region_1,0.002406169603404577
cfpl_elongation,0.002392756759597108
fatl_radius_of_end_region_2,0.0023687220374191973
cfpr_radius_of_end_region_2,0.002313346849453144
cfpr_total_surface_area,0.0023024402253136347
fatl_irregularity_of_end_region_2,0.0022904050582381145
slfr_nrdi04L,0.002281041422692626
fatl_branch_volume,0.002211593876741154
afsl_curl,0.0021841104996106944
afsr_nrdi04L,0.0021448027575740563
fatr_md,0.0021409065836016455
afsl_mean_length,0.0021232393713608317
slfl_irregularity_of_end_region_2,0.002104682885098077
afsl_rd,0.002080492282132468
ufsr_dti_fa,0.002069157374980046
ufsl_rd,0.002065052863212391
ufsr_rdi,0.0020635887274730465
slfr_ad,0.002045121436602167
slfl_radius_of_end_region_2,0.0020168977960047085
cfpl_volume,0.001994112684930602
ufsr_mean_length,0.0019922742949058736
slfl_nrdi06L,0.0019818558231255038
fatr_area_of_end_region_1,0.001980299449776433
fatr_nrdi06L,0.001971186985766093
ufsl_branch_volume,0.001969686295648579
fatl_mean_length,0.0019639376298622147
ufsr_area_of_end_region_2,0.0019527654065859346
fatr_radius_of_end_region_2,0.0019451220832488402
fatl_qa,0.0019429610601586096
ufsl_nrdi06L,0.0019298768389261092
slfr_radius_of_end_region_2,0.00191428132342354
afsr_md,0.0019097939178156112
cfpl_total_surface_area,0.0018996406519092544
afsl_area_of_end_region_2,0.0018328101353743543
cfpr_nrdi02L,0.0018317636613916105
slfl_qa,0.0018316232231090322
afsl_total_surface_area,0.0018134021838888156
slfr_nrdi06L,0.0018070900705221783
afsl_irregularity,0.001798604618477577
fatr_rdi,0.0017976203891518297
cfpr_nrdi04L,0.0017713339374077562
afsl_nrdi04L,0.001769408127681915
afsr_mean_length,0.0017638728036801056
cfpr_rd,0.0017591027366331297
slfl_nrdi04L,0.0017579011342288625
afsl_branch_volume,0.0016104796535056374
ufsl_total_surface_area,0.0015896852588662936
fatl_diameter,0.001578286825917687
ufsl_area_of_end_region_2,0.0015762160267945072
cfpl_total_radius_of_end_regions,0.001574905954845654
fatr_rd,0.0015658431901626093
cfpr_md,0.0015558957889079592
slfl_span,0.001536524500907441
ufsr_ad,0.0014904659329975634
afsr_curl,0.0014886785487698273
ufsr_rd,0.0014861339375841697
cfpl_irregularity,0.0014758106941824146
fatr_nrdi04L,0.0014292469158987515
fatr_qa,0.0013943076981870089
ufsl_md,0.0013714237492624376
afsl_dti_fa,0.0013451882252299861
ufsl_nrdi02L,0.0013358198846704595
cfpl_mean_length,0.0013148910739779677
afsl_nrdi02L,0.001282051282051282
cfpl_rdi,0.0012784012948867524
slfl_rdi,0.0012728153398956226
ufsr_nrdi02L,0.001240916359298538
cfpl_rd,0.001205393449308257
fatl_nrdi06L,0.0011786644016203046
ufsl_mean_length,0.0011777877295118678
slfr_radius_of_end_region_1,0.0011763729602045905
fatl_rd,0.0011461487048506252
ufsr_total_surface_area,0.0011433200073499294
cfpr_ad,0.0011317824495469418
fatl_rdi,0.0011266296642535641
fatr_irregularity,0.0011041966822899886
slfl_irregularity,0.0010907904719742432
ufsl_qa,0.0010793961369600974
slfl_total_surface_area,0.0010707772830617658
slfr_total_area_of_end_regions,0.001053389008827625
fatr_nrdi02L,0.0010414182431372372
slfl_total_radius_of_end_regions,0.001039692278632841
slfr_qa,0.0010227107812680835
cfpl_md,0.0010222778395748361
fatl_nrdi04L,0.0009969248588727689
ufsl_irregularity,0.0009824892418530218
fatr_curl,0.0009683598249409329
fatl_ad,0.0009268156602167207
afsr_nrdi02L,0.0009133271202236719
ufsl_diameter,0.000893487637589271
fatl_nrdi02L,0.000884180474697716
fatl_volume,0.0008702923034819588
fatl_md,0.0008418217737157077
afsr_span,0.0008413014228638118
afsl_volume,0.0007775110781911879
afsr_ad,0.000776468817955887
cfpr_area_of_end_region_2,0.000753785317679841
ufsr_span,0.0007454709903628922
cfpl_trunk_volume,0.0007422077249663458
cfpr_span,0.0007325651245796437
slfr_total_surface_area,0.0007222222222222222
slfr_trunk_volume,0.0007193543621177553
afsl_ad,0.0007175322236174164
cfpl_nrdi06L,0.0007126464510899228
slfr_dti_fa,0.0006841406257102775
cfpr_rdi,0.0006823233427268871
cfpr_curl,0.0006766898273237017
afsl_qa,0.0006529508355066166
afsr_area_of_end_region_2,0.0006111869258420982
afsl_diameter,0.0005721060437327409
slfl_dti_fa,0.0005481298362256779
cfpl_ad,0.0005432558995777386
afsl_nrdi06L,0.0005392792325641689
fatr_span,0.0005018179373896251
slfr_elongation,0.0004893518735583502
cfpl_diameter,0.00047626167301623705
slfl_nrdi02L,0.00046154528913149603
afsr_dti_fa,0.0004545632367395111
fatr_dti_fa,0.0004340487099107789
fatr_ad,0.00043068261787473596
fatr_area_of_end_region_2,0.0003984674329501917
afsl_rdi,0.00034389865499078696
fatl_irregularity,0.00033724457215836534
ufsr_qa,0.00028735632183908035
afsr_qa,0.0002472839083851866
slfr_curl,0.0001778872468527641
ufsl_ad,0.0
cfpl_nrdi04L,0.0
cfpr_qa,0.0
cfpl_qa,0.0
