0,N
number of tracts	6947,sub-50006_dwi.Frontal_Aslant_Tract_L.stat.txt	0
mean length(mm)	82.0378,sub-50006_dwi.Frontal_Aslant_Tract_L.stat.txt	1
span(mm)	32.5168,sub-50006_dwi.Frontal_Aslant_Tract_L.stat.txt	2
curl	2.52293,sub-50006_dwi.Frontal_Aslant_Tract_L.stat.txt	3
elongation	4.61515,sub-50006_dwi.Frontal_Aslant_Tract_L.stat.txt	4
diameter(mm)	17.7757,sub-50006_dwi.Frontal_Aslant_Tract_L.stat.txt	5
volume(mm^3)	20359.1,sub-50006_dwi.Frontal_Aslant_Tract_L.stat.txt	6
trunk volume(mm^3)	12337.9,sub-50006_dwi.Frontal_Aslant_Tract_L.stat.txt	7
branch volume(mm^3)	8021.24,sub-50006_dwi.Frontal_Aslant_Tract_L.stat.txt	8
total surface area(mm^2)	37009.7,sub-50006_dwi.Frontal_Aslant_Tract_L.stat.txt	9
total radius of end regions(mm)	20.8554,sub-50006_dwi.Frontal_Aslant_Tract_L.stat.txt	10
total area of end regions(mm^2)	2611.73,sub-50006_dwi.Frontal_Aslant_Tract_L.stat.txt	11
irregularity	8.07839,sub-50006_dwi.Frontal_Aslant_Tract_L.stat.txt	12
area of end region 1(mm^2)	1302.44,sub-50006_dwi.Frontal_Aslant_Tract_L.stat.txt	13
radius of end region 1(mm)	11.4236,sub-50006_dwi.Frontal_Aslant_Tract_L.stat.txt	14
irregularity of end region 1	0.314773,sub-50006_dwi.Frontal_Aslant_Tract_L.stat.txt	15
area of end region 2(mm^2)	1309.29,sub-50006_dwi.Frontal_Aslant_Tract_L.stat.txt	16
radius of end region 2(mm)	9.43182,sub-50006_dwi.Frontal_Aslant_Tract_L.stat.txt	17
irregularity of end region 2	0.213454,sub-50006_dwi.Frontal_Aslant_Tract_L.stat.txt	18
qa	0.235007,sub-50006_dwi.Frontal_Aslant_Tract_L.stat.txt	19
dti_fa	0.414455,sub-50006_dwi.Frontal_Aslant_Tract_L.stat.txt	20
md	0.808854,sub-50006_dwi.Frontal_Aslant_Tract_L.stat.txt	21
ad	1.17344,sub-50006_dwi.Frontal_Aslant_Tract_L.stat.txt	22
rd	0.626559,sub-50006_dwi.Frontal_Aslant_Tract_L.stat.txt	23
iso	0.599022,sub-50006_dwi.Frontal_Aslant_Tract_L.stat.txt	24
rdi	0.404877,sub-50006_dwi.Frontal_Aslant_Tract_L.stat.txt	25
nrdi02L	0.51912,sub-50006_dwi.Frontal_Aslant_Tract_L.stat.txt	26
nrdi04L	0.203823,sub-50006_dwi.Frontal_Aslant_Tract_L.stat.txt	27
nrdi06L	0.0313802,sub-50006_dwi.Frontal_Aslant_Tract_L.stat.txt	28
,sub-50006_dwi.Frontal_Aslant_Tract_L.stat.txt	29
number of tracts	6562,sub-50007_dwi.Frontal_Aslant_Tract_L.stat.txt	0
mean length(mm)	78.0542,sub-50007_dwi.Frontal_Aslant_Tract_L.stat.txt	1
span(mm)	28.1003,sub-50007_dwi.Frontal_Aslant_Tract_L.stat.txt	2
curl	2.7777,sub-50007_dwi.Frontal_Aslant_Tract_L.stat.txt	3
elongation	4.82994,sub-50007_dwi.Frontal_Aslant_Tract_L.stat.txt	4
diameter(mm)	16.1605,sub-50007_dwi.Frontal_Aslant_Tract_L.stat.txt	5
volume(mm^3)	16010.2,sub-50007_dwi.Frontal_Aslant_Tract_L.stat.txt	6
trunk volume(mm^3)	12438.8,sub-50007_dwi.Frontal_Aslant_Tract_L.stat.txt	7
branch volume(mm^3)	3571.42,sub-50007_dwi.Frontal_Aslant_Tract_L.stat.txt	8
total surface area(mm^2)	30666,sub-50007_dwi.Frontal_Aslant_Tract_L.stat.txt	9
total radius of end regions(mm)	20.8729,sub-50007_dwi.Frontal_Aslant_Tract_L.stat.txt	10
total area of end regions(mm^2)	2618.58,sub-50007_dwi.Frontal_Aslant_Tract_L.stat.txt	11
irregularity	7.73849,sub-50007_dwi.Frontal_Aslant_Tract_L.stat.txt	12
area of end region 1(mm^2)	2094.67,sub-50007_dwi.Frontal_Aslant_Tract_L.stat.txt	13
radius of end region 1(mm)	12.8124,sub-50007_dwi.Frontal_Aslant_Tract_L.stat.txt	14
irregularity of end region 1	0.246204,sub-50007_dwi.Frontal_Aslant_Tract_L.stat.txt	15
area of end region 2(mm^2)	523.912,sub-50007_dwi.Frontal_Aslant_Tract_L.stat.txt	16
radius of end region 2(mm)	8.06056,sub-50007_dwi.Frontal_Aslant_Tract_L.stat.txt	17
irregularity of end region 2	0.389603,sub-50007_dwi.Frontal_Aslant_Tract_L.stat.txt	18
qa	0.0862765,sub-50007_dwi.Frontal_Aslant_Tract_L.stat.txt	19
dti_fa	0.432708,sub-50007_dwi.Frontal_Aslant_Tract_L.stat.txt	20
md	0.779603,sub-50007_dwi.Frontal_Aslant_Tract_L.stat.txt	21
ad	1.13453,sub-50007_dwi.Frontal_Aslant_Tract_L.stat.txt	22
rd	0.602138,sub-50007_dwi.Frontal_Aslant_Tract_L.stat.txt	23
iso	0.263788,sub-50007_dwi.Frontal_Aslant_Tract_L.stat.txt	24
rdi	0.152787,sub-50007_dwi.Frontal_Aslant_Tract_L.stat.txt	25
nrdi02L	0.19588,sub-50007_dwi.Frontal_Aslant_Tract_L.stat.txt	26
nrdi04L	0.0768998,sub-50007_dwi.Frontal_Aslant_Tract_L.stat.txt	27
nrdi06L	0.0118319,sub-50007_dwi.Frontal_Aslant_Tract_L.stat.txt	28
,sub-50007_dwi.Frontal_Aslant_Tract_L.stat.txt	29
number of tracts	8368,sub-50008_dwi.Frontal_Aslant_Tract_L.stat.txt	0
mean length(mm)	81.3912,sub-50008_dwi.Frontal_Aslant_Tract_L.stat.txt	1
span(mm)	32.781,sub-50008_dwi.Frontal_Aslant_Tract_L.stat.txt	2
curl	2.48288,sub-50008_dwi.Frontal_Aslant_Tract_L.stat.txt	3
elongation	4.26776,sub-50008_dwi.Frontal_Aslant_Tract_L.stat.txt	4
diameter(mm)	19.0712,sub-50008_dwi.Frontal_Aslant_Tract_L.stat.txt	5
volume(mm^3)	23249.9,sub-50008_dwi.Frontal_Aslant_Tract_L.stat.txt	6
trunk volume(mm^3)	23103.1,sub-50008_dwi.Frontal_Aslant_Tract_L.stat.txt	7
branch volume(mm^3)	146.891,sub-50008_dwi.Frontal_Aslant_Tract_L.stat.txt	8
total surface area(mm^2)	37385.8,sub-50008_dwi.Frontal_Aslant_Tract_L.stat.txt	9
total radius of end regions(mm)	20.7139,sub-50008_dwi.Frontal_Aslant_Tract_L.stat.txt	10
total area of end regions(mm^2)	4360.71,sub-50008_dwi.Frontal_Aslant_Tract_L.stat.txt	11
irregularity	7.66658,sub-50008_dwi.Frontal_Aslant_Tract_L.stat.txt	12
area of end region 1(mm^2)	2060.39,sub-50008_dwi.Frontal_Aslant_Tract_L.stat.txt	13
radius of end region 1(mm)	9.95521,sub-50008_dwi.Frontal_Aslant_Tract_L.stat.txt	14
irregularity of end region 1	0.151112,sub-50008_dwi.Frontal_Aslant_Tract_L.stat.txt	15
area of end region 2(mm^2)	2300.32,sub-50008_dwi.Frontal_Aslant_Tract_L.stat.txt	16
radius of end region 2(mm)	10.7587,sub-50008_dwi.Frontal_Aslant_Tract_L.stat.txt	17
irregularity of end region 2	0.158082,sub-50008_dwi.Frontal_Aslant_Tract_L.stat.txt	18
qa	0.133227,sub-50008_dwi.Frontal_Aslant_Tract_L.stat.txt	19
dti_fa	0.432456,sub-50008_dwi.Frontal_Aslant_Tract_L.stat.txt	20
md	0.847372,sub-50008_dwi.Frontal_Aslant_Tract_L.stat.txt	21
ad	1.22767,sub-50008_dwi.Frontal_Aslant_Tract_L.stat.txt	22
rd	0.657221,sub-50008_dwi.Frontal_Aslant_Tract_L.stat.txt	23
iso	0.381064,sub-50008_dwi.Frontal_Aslant_Tract_L.stat.txt	24
rdi	0.2221,sub-50008_dwi.Frontal_Aslant_Tract_L.stat.txt	25
nrdi02L	0.285112,sub-50008_dwi.Frontal_Aslant_Tract_L.stat.txt	26
nrdi04L	0.112109,sub-50008_dwi.Frontal_Aslant_Tract_L.stat.txt	27
nrdi06L	0.0173992,sub-50008_dwi.Frontal_Aslant_Tract_L.stat.txt	28
,sub-50008_dwi.Frontal_Aslant_Tract_L.stat.txt	29
number of tracts	8763,sub-50010_dwi.Frontal_Aslant_Tract_L.stat.txt	0
mean length(mm)	77.7459,sub-50010_dwi.Frontal_Aslant_Tract_L.stat.txt	1
span(mm)	32.8879,sub-50010_dwi.Frontal_Aslant_Tract_L.stat.txt	2
curl	2.36397,sub-50010_dwi.Frontal_Aslant_Tract_L.stat.txt	3
elongation	5.08464,sub-50010_dwi.Frontal_Aslant_Tract_L.stat.txt	4
diameter(mm)	15.2904,sub-50010_dwi.Frontal_Aslant_Tract_L.stat.txt	5
volume(mm^3)	14275.9,sub-50010_dwi.Frontal_Aslant_Tract_L.stat.txt	6
trunk volume(mm^3)	12750.2,sub-50010_dwi.Frontal_Aslant_Tract_L.stat.txt	7
branch volume(mm^3)	1525.71,sub-50010_dwi.Frontal_Aslant_Tract_L.stat.txt	8
total surface area(mm^2)	25240.8,sub-50010_dwi.Frontal_Aslant_Tract_L.stat.txt	9
total radius of end regions(mm)	17.8856,sub-50010_dwi.Frontal_Aslant_Tract_L.stat.txt	10
total area of end regions(mm^2)	2756.66,sub-50010_dwi.Frontal_Aslant_Tract_L.stat.txt	11
irregularity	6.75862,sub-50010_dwi.Frontal_Aslant_Tract_L.stat.txt	12
area of end region 1(mm^2)	1376.86,sub-50010_dwi.Frontal_Aslant_Tract_L.stat.txt	13
radius of end region 1(mm)	8.65889,sub-50010_dwi.Frontal_Aslant_Tract_L.stat.txt	14
irregularity of end region 1	0.171074,sub-50010_dwi.Frontal_Aslant_Tract_L.stat.txt	15
area of end region 2(mm^2)	1379.8,sub-50010_dwi.Frontal_Aslant_Tract_L.stat.txt	16
radius of end region 2(mm)	9.22673,sub-50010_dwi.Frontal_Aslant_Tract_L.stat.txt	17
irregularity of end region 2	0.193834,sub-50010_dwi.Frontal_Aslant_Tract_L.stat.txt	18
qa	0.0948636,sub-50010_dwi.Frontal_Aslant_Tract_L.stat.txt	19
dti_fa	0.406709,sub-50010_dwi.Frontal_Aslant_Tract_L.stat.txt	20
md	0.831607,sub-50010_dwi.Frontal_Aslant_Tract_L.stat.txt	21
ad	1.17076,sub-50010_dwi.Frontal_Aslant_Tract_L.stat.txt	22
rd	0.662032,sub-50010_dwi.Frontal_Aslant_Tract_L.stat.txt	23
iso	0.293172,sub-50010_dwi.Frontal_Aslant_Tract_L.stat.txt	24
rdi	0.170523,sub-50010_dwi.Frontal_Aslant_Tract_L.stat.txt	25
nrdi02L	0.218773,sub-50010_dwi.Frontal_Aslant_Tract_L.stat.txt	26
nrdi04L	0.0859614,sub-50010_dwi.Frontal_Aslant_Tract_L.stat.txt	27
nrdi06L	0.0132884,sub-50010_dwi.Frontal_Aslant_Tract_L.stat.txt	28
,sub-50010_dwi.Frontal_Aslant_Tract_L.stat.txt	29
number of tracts	9727,sub-50013_dwi.Frontal_Aslant_Tract_L.stat.txt	0
mean length(mm)	85.7379,sub-50013_dwi.Frontal_Aslant_Tract_L.stat.txt	1
span(mm)	34.4491,sub-50013_dwi.Frontal_Aslant_Tract_L.stat.txt	2
curl	2.48883,sub-50013_dwi.Frontal_Aslant_Tract_L.stat.txt	3
elongation	4.94649,sub-50013_dwi.Frontal_Aslant_Tract_L.stat.txt	4
diameter(mm)	17.3331,sub-50013_dwi.Frontal_Aslant_Tract_L.stat.txt	5
