0,N
span(mm)	30.1856,sub-50006_dwi.Arcuate_Fasciculus_R.stat.txt	2
curl	4.31861,sub-50006_dwi.Arcuate_Fasciculus_R.stat.txt	3
elongation	18.4102,sub-50006_dwi.Arcuate_Fasciculus_R.stat.txt	4
diameter(mm)	7.08083,sub-50006_dwi.Arcuate_Fasciculus_R.stat.txt	5
volume(mm^3)	5133.36,sub-50006_dwi.Arcuate_Fasciculus_R.stat.txt	6
trunk volume(mm^3)	2495.19,sub-50006_dwi.Arcuate_Fasciculus_R.stat.txt	7
branch volume(mm^3)	2638.17,sub-50006_dwi.Arcuate_Fasciculus_R.stat.txt	8
total surface area(mm^2)	15076.9,sub-50006_dwi.Arcuate_Fasciculus_R.stat.txt	9
total radius of end regions(mm)	17.0852,sub-50006_dwi.Arcuate_Fasciculus_R.stat.txt	10
total area of end regions(mm^2)	441.653,sub-50006_dwi.Arcuate_Fasciculus_R.stat.txt	11
irregularity	5.19918,sub-50006_dwi.Arcuate_Fasciculus_R.stat.txt	12
area of end region 1(mm^2)	247.757,sub-50006_dwi.Arcuate_Fasciculus_R.stat.txt	13
radius of end region 1(mm)	11.1081,sub-50006_dwi.Arcuate_Fasciculus_R.stat.txt	14
irregularity of end region 1	1.5646,sub-50006_dwi.Arcuate_Fasciculus_R.stat.txt	15
area of end region 2(mm^2)	193.896,sub-50006_dwi.Arcuate_Fasciculus_R.stat.txt	16
radius of end region 2(mm)	5.97712,sub-50006_dwi.Arcuate_Fasciculus_R.stat.txt	17
irregularity of end region 2	0.578846,sub-50006_dwi.Arcuate_Fasciculus_R.stat.txt	18
qa	0.253977,sub-50006_dwi.Arcuate_Fasciculus_R.stat.txt	19
dti_fa	0.441719,sub-50006_dwi.Arcuate_Fasciculus_R.stat.txt	20
md	0.804747,sub-50006_dwi.Arcuate_Fasciculus_R.stat.txt	21
ad	1.19052,sub-50006_dwi.Arcuate_Fasciculus_R.stat.txt	22
rd	0.611862,sub-50006_dwi.Arcuate_Fasciculus_R.stat.txt	23
iso	0.725157,sub-50006_dwi.Arcuate_Fasciculus_R.stat.txt	24
rdi	0.424786,sub-50006_dwi.Arcuate_Fasciculus_R.stat.txt	25
nrdi02L	0.544457,sub-50006_dwi.Arcuate_Fasciculus_R.stat.txt	26
nrdi04L	0.21368,sub-50006_dwi.Arcuate_Fasciculus_R.stat.txt	27
nrdi06L	0.032821,sub-50006_dwi.Arcuate_Fasciculus_R.stat.txt	28
,sub-50006_dwi.Arcuate_Fasciculus_R.stat.txt	29
number of tracts	1437,sub-50007_dwi.Arcuate_Fasciculus_R.stat.txt	0
mean length(mm)	124.212,sub-50007_dwi.Arcuate_Fasciculus_R.stat.txt	1
span(mm)	18.7957,sub-50007_dwi.Arcuate_Fasciculus_R.stat.txt	2
curl	6.60856,sub-50007_dwi.Arcuate_Fasciculus_R.stat.txt	3
elongation	17.0424,sub-50007_dwi.Arcuate_Fasciculus_R.stat.txt	4
diameter(mm)	7.28845,sub-50007_dwi.Arcuate_Fasciculus_R.stat.txt	5
volume(mm^3)	5182.32,sub-50007_dwi.Arcuate_Fasciculus_R.stat.txt	6
trunk volume(mm^3)	3412.77,sub-50007_dwi.Arcuate_Fasciculus_R.stat.txt	7
branch volume(mm^3)	1769.55,sub-50007_dwi.Arcuate_Fasciculus_R.stat.txt	8
total surface area(mm^2)	12920.6,sub-50007_dwi.Arcuate_Fasciculus_R.stat.txt	9
total radius of end regions(mm)	17.3118,sub-50007_dwi.Arcuate_Fasciculus_R.stat.txt	10
total area of end regions(mm^2)	614.005,sub-50007_dwi.Arcuate_Fasciculus_R.stat.txt	11
irregularity	4.54288,sub-50007_dwi.Arcuate_Fasciculus_R.stat.txt	12
area of end region 1(mm^2)	230.13,sub-50007_dwi.Arcuate_Fasciculus_R.stat.txt	13
radius of end region 1(mm)	3.65179,sub-50007_dwi.Arcuate_Fasciculus_R.stat.txt	14
irregularity of end region 1	0.18205,sub-50007_dwi.Arcuate_Fasciculus_R.stat.txt	15
area of end region 2(mm^2)	383.876,sub-50007_dwi.Arcuate_Fasciculus_R.stat.txt	16
radius of end region 2(mm)	13.66,sub-50007_dwi.Arcuate_Fasciculus_R.stat.txt	17
irregularity of end region 2	1.52707,sub-50007_dwi.Arcuate_Fasciculus_R.stat.txt	18
qa	0.0891912,sub-50007_dwi.Arcuate_Fasciculus_R.stat.txt	19
dti_fa	0.484189,sub-50007_dwi.Arcuate_Fasciculus_R.stat.txt	20
md	0.753909,sub-50007_dwi.Arcuate_Fasciculus_R.stat.txt	21
ad	1.15239,sub-50007_dwi.Arcuate_Fasciculus_R.stat.txt	22
rd	0.554669,sub-50007_dwi.Arcuate_Fasciculus_R.stat.txt	23
iso	0.235669,sub-50007_dwi.Arcuate_Fasciculus_R.stat.txt	24
rdi	0.140089,sub-50007_dwi.Arcuate_Fasciculus_R.stat.txt	25
nrdi02L	0.179441,sub-50007_dwi.Arcuate_Fasciculus_R.stat.txt	26
nrdi04L	0.070369,sub-50007_dwi.Arcuate_Fasciculus_R.stat.txt	27
nrdi06L	0.0107623,sub-50007_dwi.Arcuate_Fasciculus_R.stat.txt	28
,sub-50007_dwi.Arcuate_Fasciculus_R.stat.txt	29
number of tracts	7623,sub-50008_dwi.Arcuate_Fasciculus_R.stat.txt	0
mean length(mm)	122.786,sub-50008_dwi.Arcuate_Fasciculus_R.stat.txt	1
span(mm)	29.7212,sub-50008_dwi.Arcuate_Fasciculus_R.stat.txt	2
curl	4.13127,sub-50008_dwi.Arcuate_Fasciculus_R.stat.txt	3
elongation	8.64538,sub-50008_dwi.Arcuate_Fasciculus_R.stat.txt	4
diameter(mm)	14.2025,sub-50008_dwi.Arcuate_Fasciculus_R.stat.txt	5
volume(mm^3)	19452.3,sub-50008_dwi.Arcuate_Fasciculus_R.stat.txt	6
trunk volume(mm^3)	9828.98,sub-50008_dwi.Arcuate_Fasciculus_R.stat.txt	7
branch volume(mm^3)	9623.34,sub-50008_dwi.Arcuate_Fasciculus_R.stat.txt	8
total surface area(mm^2)	42548.5,sub-50008_dwi.Arcuate_Fasciculus_R.stat.txt	9
total radius of end regions(mm)	28.4918,sub-50008_dwi.Arcuate_Fasciculus_R.stat.txt	10
total area of end regions(mm^2)	2335.57,sub-50008_dwi.Arcuate_Fasciculus_R.stat.txt	11
irregularity	7.76638,sub-50008_dwi.Arcuate_Fasciculus_R.stat.txt	12
area of end region 1(mm^2)	1058.6,sub-50008_dwi.Arcuate_Fasciculus_R.stat.txt	13
radius of end region 1(mm)	15.1137,sub-50008_dwi.Arcuate_Fasciculus_R.stat.txt	14
irregularity of end region 1	0.677894,sub-50008_dwi.Arcuate_Fasciculus_R.stat.txt	15
area of end region 2(mm^2)	1276.97,sub-50008_dwi.Arcuate_Fasciculus_R.stat.txt	16
radius of end region 2(mm)	13.3781,sub-50008_dwi.Arcuate_Fasciculus_R.stat.txt	17
irregularity of end region 2	0.440306,sub-50008_dwi.Arcuate_Fasciculus_R.stat.txt	18
qa	0.139031,sub-50008_dwi.Arcuate_Fasciculus_R.stat.txt	19
dti_fa	0.407511,sub-50008_dwi.Arcuate_Fasciculus_R.stat.txt	20
md	0.830196,sub-50008_dwi.Arcuate_Fasciculus_R.stat.txt	21
ad	1.19138,sub-50008_dwi.Arcuate_Fasciculus_R.stat.txt	22
rd	0.649602,sub-50008_dwi.Arcuate_Fasciculus_R.stat.txt	23
iso	0.414959,sub-50008_dwi.Arcuate_Fasciculus_R.stat.txt	24
rdi	0.241281,sub-50008_dwi.Arcuate_Fasciculus_R.stat.txt	25
nrdi02L	0.309456,sub-50008_dwi.Arcuate_Fasciculus_R.stat.txt	26
nrdi04L	0.121547,sub-50008_dwi.Arcuate_Fasciculus_R.stat.txt	27
nrdi06L	0.0187529,sub-50008_dwi.Arcuate_Fasciculus_R.stat.txt	28
,sub-50008_dwi.Arcuate_Fasciculus_R.stat.txt	29
number of tracts	1074,sub-50010_dwi.Arcuate_Fasciculus_R.stat.txt	0
mean length(mm)	104.414,sub-50010_dwi.Arcuate_Fasciculus_R.stat.txt	1
span(mm)	37.8117,sub-50010_dwi.Arcuate_Fasciculus_R.stat.txt	2
curl	2.76142,sub-50010_dwi.Arcuate_Fasciculus_R.stat.txt	3
elongation	15.2845,sub-50010_dwi.Arcuate_Fasciculus_R.stat.txt	4
diameter(mm)	6.83134,sub-50010_dwi.Arcuate_Fasciculus_R.stat.txt	5
volume(mm^3)	3827.01,sub-50010_dwi.Arcuate_Fasciculus_R.stat.txt	6
trunk volume(mm^3)	2651.88,sub-50010_dwi.Arcuate_Fasciculus_R.stat.txt	7
branch volume(mm^3)	1175.13,sub-50010_dwi.Arcuate_Fasciculus_R.stat.txt	8
total surface area(mm^2)	11033.5,sub-50010_dwi.Arcuate_Fasciculus_R.stat.txt	9
total radius of end regions(mm)	11.3346,sub-50010_dwi.Arcuate_Fasciculus_R.stat.txt	10
total area of end regions(mm^2)	462.218,sub-50010_dwi.Arcuate_Fasciculus_R.stat.txt	11
irregularity	4.92379,sub-50010_dwi.Arcuate_Fasciculus_R.stat.txt	12
area of end region 1(mm^2)	186.062,sub-50010_dwi.Arcuate_Fasciculus_R.stat.txt	13
radius of end region 1(mm)	6.26162,sub-50010_dwi.Arcuate_Fasciculus_R.stat.txt	14
irregularity of end region 1	0.66201,sub-50010_dwi.Arcuate_Fasciculus_R.stat.txt	15
area of end region 2(mm^2)	276.156,sub-50010_dwi.Arcuate_Fasciculus_R.stat.txt	16
radius of end region 2(mm)	5.07299,sub-50010_dwi.Arcuate_Fasciculus_R.stat.txt	17
