0,N
span(mm)	30.905,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	2
curl	4.16114,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	3
elongation	9.95351,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	4
diameter(mm)	12.9201,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	5
volume(mm^3)	16860.2,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	6
trunk volume(mm^3)	14657.8,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	7
branch volume(mm^3)	2202.39,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	8
total surface area(mm^2)	32142.7,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	9
total radius of end regions(mm)	18.4869,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	10
total area of end regions(mm^2)	2595.08,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	11
irregularity	6.15781,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	12
area of end region 1(mm^2)	1891.96,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	13
radius of end region 1(mm)	12.1284,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	14
irregularity of end region 1	0.244255,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	15
area of end region 2(mm^2)	703.12,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	16
radius of end region 2(mm)	6.35849,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	17
irregularity of end region 2	0.180646,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	18
qa	0.297538,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	19
dti_fa	0.475757,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	20
md	0.777817,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	21
ad	1.20567,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	22
rd	0.563891,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	23
iso	0.75334,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	24
rdi	0.446971,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	25
nrdi02L	0.572519,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	26
nrdi04L	0.224514,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	27
nrdi06L	0.0343348,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	28
,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	29
number of tracts	1069,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	0
mean length(mm)	94.9914,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	1
span(mm)	28.0402,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	2
curl	3.38769,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	3
elongation	14.1241,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	4
diameter(mm)	6.72547,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	5
volume(mm^3)	3374.58,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	6
trunk volume(mm^3)	2814.44,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	7
branch volume(mm^3)	560.145,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	8
total surface area(mm^2)	8137.78,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	9
total radius of end regions(mm)	7.48311,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	10
total area of end regions(mm^2)	384.855,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	11
irregularity	4.05461,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	12
area of end region 1(mm^2)	195.855,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	13
radius of end region 1(mm)	3.72658,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	14
irregularity of end region 1	0.22276,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	15
area of end region 2(mm^2)	189,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	16
radius of end region 2(mm)	3.75653,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	17
irregularity of end region 2	0.234564,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	18
qa	0.0978504,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	19
dti_fa	0.45786,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	20
md	0.811822,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	21
ad	1.19575,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	22
rd	0.619856,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	23
iso	0.270053,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	24
rdi	0.15959,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	25
nrdi02L	0.204706,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	26
nrdi04L	0.0804151,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	27
nrdi06L	0.0124151,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	28
,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	29
number of tracts	11921,sub-50008_dwi.Arcuate_Fasciculus_L.stat.txt	0
mean length(mm)	131.441,sub-50008_dwi.Arcuate_Fasciculus_L.stat.txt	1
span(mm)	24.8005,sub-50008_dwi.Arcuate_Fasciculus_L.stat.txt	2
curl	5.29992,sub-50008_dwi.Arcuate_Fasciculus_L.stat.txt	3
elongation	9.05184,sub-50008_dwi.Arcuate_Fasciculus_L.stat.txt	4
diameter(mm)	14.5209,sub-50008_dwi.Arcuate_Fasciculus_L.stat.txt	5
volume(mm^3)	21767.3,sub-50008_dwi.Arcuate_Fasciculus_L.stat.txt	6
trunk volume(mm^3)	15244.4,sub-50008_dwi.Arcuate_Fasciculus_L.stat.txt	7
branch volume(mm^3)	6522.95,sub-50008_dwi.Arcuate_Fasciculus_L.stat.txt	8
total surface area(mm^2)	41690.7,sub-50008_dwi.Arcuate_Fasciculus_L.stat.txt	9
total radius of end regions(mm)	32.7867,sub-50008_dwi.Arcuate_Fasciculus_L.stat.txt	10
total area of end regions(mm^2)	3399.06,sub-50008_dwi.Arcuate_Fasciculus_L.stat.txt	11
irregularity	6.95291,sub-50008_dwi.Arcuate_Fasciculus_L.stat.txt	12
area of end region 1(mm^2)	2279.75,sub-50008_dwi.Arcuate_Fasciculus_L.stat.txt	13
radius of end region 1(mm)	10.2538,sub-50008_dwi.Arcuate_Fasciculus_L.stat.txt	14
irregularity of end region 1	0.144887,sub-50008_dwi.Arcuate_Fasciculus_L.stat.txt	15
area of end region 2(mm^2)	1119.31,sub-50008_dwi.Arcuate_Fasciculus_L.stat.txt	16
radius of end region 2(mm)	22.533,sub-50008_dwi.Arcuate_Fasciculus_L.stat.txt	17
irregularity of end region 2	1.42507,sub-50008_dwi.Arcuate_Fasciculus_L.stat.txt	18
qa	0.141544,sub-50008_dwi.Arcuate_Fasciculus_L.stat.txt	19
dti_fa	0.426195,sub-50008_dwi.Arcuate_Fasciculus_L.stat.txt	20
md	0.868411,sub-50008_dwi.Arcuate_Fasciculus_L.stat.txt	21
ad	1.25972,sub-50008_dwi.Arcuate_Fasciculus_L.stat.txt	22
rd	0.672757,sub-50008_dwi.Arcuate_Fasciculus_L.stat.txt	23
iso	0.375372,sub-50008_dwi.Arcuate_Fasciculus_L.stat.txt	24
rdi	0.22243,sub-50008_dwi.Arcuate_Fasciculus_L.stat.txt	25
nrdi02L	0.285518,sub-50008_dwi.Arcuate_Fasciculus_L.stat.txt	26
nrdi04L	0.11226,sub-50008_dwi.Arcuate_Fasciculus_L.stat.txt	27
nrdi06L	0.0174156,sub-50008_dwi.Arcuate_Fasciculus_L.stat.txt	28
,sub-50008_dwi.Arcuate_Fasciculus_L.stat.txt	29
number of tracts	13504,sub-50010_dwi.Arcuate_Fasciculus_L.stat.txt	0
mean length(mm)	129.044,sub-50010_dwi.Arcuate_Fasciculus_L.stat.txt	1
span(mm)	27.0882,sub-50010_dwi.Arcuate_Fasciculus_L.stat.txt	2
curl	4.76384,sub-50010_dwi.Arcuate_Fasciculus_L.stat.txt	3
elongation	8.44862,sub-50010_dwi.Arcuate_Fasciculus_L.stat.txt	4
diameter(mm)	15.274,sub-50010_dwi.Arcuate_Fasciculus_L.stat.txt	5
volume(mm^3)	23644.6,sub-50010_dwi.Arcuate_Fasciculus_L.stat.txt	6
trunk volume(mm^3)	13421.9,sub-50010_dwi.Arcuate_Fasciculus_L.stat.txt	7
