,0,1,2,3,4,5,6,7,8,9,10,11
fatr_radius_of_end_region_2,,,0.1017588277204676,,,,,,0.10994088209819317,0.11316100407967228,,0.11001572239468906
cfpr_radius_of_end_region_2,,,0.1017588277204676,,,,,,0.10994088209819317,0.11316100407967228,,0.11001572239468906
ufsr_radius_of_end_region_2,,,0.1017588277204676,,,,,,0.10994088209819317,0.11316100407967228,,0.11001572239468906
afsr_radius_of_end_region_2,,,0.09992452522832213,,,,,,0.10284797964313612,0.08447617198736596,,0.14083875243645427
slfr_radius_of_end_region_2,,,0.09763633837623344,,,,,,0.10252663391965527,0.09345839353633763,,0.1331307874494174
fatr_rd,,,0.09477857563406868,0.11767026124126308,,,,,,,,
cfpr_rd,,,0.09477857563406868,0.11767026124126308,,,,,,,,
ufsr_rd,,,0.09477857563406868,0.11767026124126308,,,,,,,,
afsr_rd,,,0.0935848145919864,0.11685762313673702,,,,,,,,
cfpr_branch_volume,,,0.09191907280293769,,,,,,,,,
fatr_branch_volume,,,0.09191907280293769,,,,,,,,,
ufsr_branch_volume,,,0.09191907280293769,,,,,,,,,
fatr_md,,,0.09155854940160664,0.11481557112227943,,,,,,,,
ufsr_md,,,0.09155854940160664,0.11481557112227943,,,,,,,,
cfpr_md,,,0.09155854940160664,0.11481557112227943,,,,,,,,
afsr_md,,,0.09100906156668291,0.11438874070480581,,,,,,,,
slfr_radius_of_end_region_1,,,0.09049049710871615,,,,,,,,,
afsr_branch_volume,,,0.09000785386214828,,,,,,,0.09157367884766547,,
fatr_irregularity_of_end_region_2,,,0.08981206086897278,,,,,,0.12444643090388009,0.07653654580695861,0.1364300697954363,0.1737021709995768
cfpr_irregularity_of_end_region_2,,,0.08981206086897278,,,,,,0.12444643090388009,,0.1364300697954363,0.1737021709995768
ufsr_irregularity_of_end_region_2,,,0.08981206086897278,,,,,,0.12444643090388009,,0.1364300697954363,0.1737021709995768
slfr_rd,,,0.08854427919283629,0.1108118365630948,,,,,,,,
afsl_rd,,,0.08744203313176972,0.10974485127948123,,,,,,,,
fatl_rd,,,0.0874420331317697,0.10974485127948123,,,,,,,,
ufsl_rd,,,0.0874420331317697,0.10974485127948123,,,,,,,,
cfpl_rd,,,0.0874420331317697,0.10974485127948123,,,,,,,,
afsr_irregularity_of_end_region_2,,,0.08703172066716283,,,,0.08787852268730965,,0.1186872311437374,,0.14956721705797268,0.19051252674639785
slfr_md,,,0.08631404889032702,0.10624973462540711,,,,,,,,
slfr_branch_volume,,,0.08613017671924639,,,,,,,,,
ufsl_md,,,,0.10873544182645344,,,,,,,,
afsl_md,,,,0.10873544182645344,,,,,,,,
cfpl_md,,,,0.10873544182645344,,,,,,,,
fatl_md,,,,0.10873544182645344,,,,,,,,
fatr_total_area_of_end_regions,,,,0.10729875121206175,,,,,,,,
ufsr_total_area_of_end_regions,,,,0.10729875121206175,,,,,,,,
cfpr_total_area_of_end_regions,,,,0.10729875121206175,,,,,,,,
afsr_total_area_of_end_regions,,,,0.10552350464691909,,,,,,,,
slfl_rd,,,,0.10440775248157781,,,,,,,,
slfr_total_area_of_end_regions,,,,0.1033543264589923,,0.0860379201638986,,,,,,
slfl_md,,,,0.10187834176996319,,,0.0887027452953587,,,,,
cfpr_dti_fa,,,,0.09660300713876069,0.0930596679862416,,,0.09247990505630736,,0.09519842851839995,0.14365486141225767,
ufsr_dti_fa,,,,0.09660300713876069,0.0930596679862416,,,0.09247990505630736,,0.09519842851839995,0.14365486141225767,
fatr_dti_fa,,,,0.09660300713876069,0.0930596679862416,,,0.09247990505630736,,0.09519842851839995,0.14365486141225767,
slfr_dti_fa,,,,0.09584599467182653,,,,,,,0.13098393140047862,
afsr_dti_fa,,,,0.09541353979448396,,,,,,0.12105793766821636,0.1329610372757722,
cfpr_span,,,,0.09292893497753821,0.09515034327898471,,0.13506980346292008,,0.12472071615056828,,,
fatr_span,,,,0.09292893497753821,0.09515034327898471,,0.13506980346292008,,0.12472071615056828,,,
ufsr_span,,,,0.09292893497753821,0.09515034327898471,,0.13506980346292008,,0.12472071615056828,,,
afsr_span,,,,0.09198312270281823,0.09769449765746664,,0.14135998195454547,,0.12224335622585937,,,
afsr_ad,,,,0.09187166524871848,,,0.09551396200280837,,,,0.1271749351463376,
afsr_number_of_tracts,,,,0.0913050874715846,,,,,,,,
fatr_number_of_tracts,,,,0.09129957090119005,,,,,,,,
ufsr_number_of_tracts,,,,0.09129957090119005,,,,,,,,
cfpr_number_of_tracts,,,,0.09129957090119005,,,,,,,,
ufsr_ad,,,,0.0903570228388033,,,0.08972828413889043,0.08978598001184342,,,0.13225538181404647,
cfpr_ad,,,,0.0903570228388033,,,0.08972828413889043,0.08978598001184342,,,0.13225538181404647,
fatr_ad,,,,0.0903570228388033,,,0.08972828413889043,0.08978598001184342,,,0.13225538181404647,
slfl_dti_fa,,,,,0.1640449754790487,,,,,,,
afsl_dti_fa,,,,,0.15307814780931658,,,,,,0.08510092572087903,
cfpl_dti_fa,,,,,0.15307814780931656,,,,,,,
ufsl_dti_fa,,,,,0.15307814780931656,,,,,,,
fatl_dti_fa,,,,,0.15307814780931656,,,,,,0.08510092572087902,
slfr_mean_length,,,,,0.14570496414054396,,,,,,0.11643917768457396,0.10059561686650674
afsr_mean_length,,,,,0.14119437358563905,,,,,,0.11778233203654342,0.098127566754883
fatr_mean_length,,,,,0.13768033144153263,,,,,,0.1230109564325487,0.08966455916450604
ufsr_mean_length,,,,,0.13768033144153263,,,,,,0.1230109564325487,0.08966455916450604
cfpr_mean_length,,,,,0.13768033144153263,,,,,,0.1230109564325487,0.08966455916450604
cfpl_irregularity_of_end_region_1,,,,,0.1250552124555951,,,,,0.0947772959051931,,
ufsl_irregularity_of_end_region_1,,,,,0.1250552124555951,,,,,0.0947772959051931,,
afsl_irregularity_of_end_region_1,,,,,0.1250552124555951,,,,,0.09477729590519303,,
fatl_irregularity_of_end_region_1,,,,,0.1250552124555951,,,,,0.0947772959051931,,
slfl_irregularity_of_end_region_1,,,,,0.12212053160399218,,,,,0.10358963330890406,,
slfl_branch_volume,,,,,0.11969038472071322,,,0.09194407513402836,0.11962959756841941,,,0.14310364385548344
slfl_mean_length,,,,,0.11185811285759799,,,0.18096840629839536,,,,
fatl_branch_volume,,,,,0.11123992883344713,,,0.08812846921893508,0.10312668659472793,,,0.1308868481101685
ufsl_branch_volume,,,,,0.11123992883344713,,,0.08812846921893508,0.10312668659472793,,,0.1308868481101685
cfpl_branch_volume,,,,,0.11123992883344713,,,0.08812846921893508,0.10312668659472793,,,0.1308868481101685
afsl_branch_volume,,,,,0.11123992883344709,,,0.08812846921893518,0.10312668659472794,,,0.13088684811016865
fatl_radius_of_end_region_1,,,,,0.1053476057715035,,0.09258024156310422,,0.12730491214475578,,,
cfpl_radius_of_end_region_1,,,,,0.1053476057715035,,0.09258024156310422,,0.12730491214475578,,,
ufsl_radius_of_end_region_1,,,,,0.1053476057715035,,0.09258024156310422,,0.12730491214475578,,,
afsl_radius_of_end_region_1,,,,,0.10534760577150348,,0.09258024156310421,,0.12730491214475578,,,
ufsl_mean_length,,,,,0.09778308503406558,,,0.1850473174717708,,,,
fatl_mean_length,,,,,0.09778308503406558,,,0.1850473174717708,,,,
cfpl_mean_length,,,,,0.09778308503406558,,,0.1850473174717708,,,,
afsl_mean_length,,,,,0.09778308503406549,,,0.1850473174717709,,,,
slfl_radius_of_end_region_1,,,,,0.09777827876541995,,0.0987756830184379,,0.1349976462913343,,,
cfpr_elongation,,,,,0.09342984198140974,0.13474615153360742,,,,,,
fatr_elongation,,,,,0.09342984198140974,0.13474615153360742,,,,,,
ufsr_elongation,,,,,0.09342984198140974,0.13474615153360742,,,,,,
afsl_area_of_end_region_2,,,,,0.09262871692056272,0.1288920278248804,,,,0.15353381609726566,,
cfpl_area_of_end_region_2,,,,,0.0926287169205626,0.1288920278248804,,,,0.15353381609726569,,
afsr_elongation,,,,,,0.14053211884230593,,,,,0.09228584727773667,
slfl_area_of_end_region_2,,,,,,0.13408725472189145,,,,0.15739612237922665,,
fatl_area_of_end_region_2,,,,,,0.1288920278248804,,,,0.15353381609726569,,
ufsl_area_of_end_region_2,,,,,,0.1288920278248804,,,,0.15353381609726569,,
cfpl_span,,,,,,0.12332012881765045,,0.16802234213770562,,,,
fatl_span,,,,,,0.12332012881765045,,0.16802234213770562,,,,
afsl_span,,,,,,0.12332012881765045,,0.16802234213770564,,,,
ufsl_span,,,,,,0.12332012881765045,,0.16802234213770562,,,,
slfr_elongation,,,,,,0.11894840050676815,,,,,0.09903805605118207,
