0,N
mean length(mm)	39.1042,sub-10206_dwi.Uncinate_Fasciculus_L.stat.txt	1
span(mm)	14.7693,sub-10206_dwi.Uncinate_Fasciculus_L.stat.txt	2
curl	2.64767,sub-10206_dwi.Uncinate_Fasciculus_L.stat.txt	3
elongation	3.26055,sub-10206_dwi.Uncinate_Fasciculus_L.stat.txt	4
diameter(mm)	11.9931,sub-10206_dwi.Uncinate_Fasciculus_L.stat.txt	5
volume(mm^3)	4417.51,sub-10206_dwi.Uncinate_Fasciculus_L.stat.txt	6
trunk volume(mm^3)	4109.04,sub-10206_dwi.Uncinate_Fasciculus_L.stat.txt	7
branch volume(mm^3)	308.471,sub-10206_dwi.Uncinate_Fasciculus_L.stat.txt	8
total surface area(mm^2)	8943.72,sub-10206_dwi.Uncinate_Fasciculus_L.stat.txt	9
total radius of end regions(mm)	11.0199,sub-10206_dwi.Uncinate_Fasciculus_L.stat.txt	10
total area of end regions(mm^2)	853.928,sub-10206_dwi.Uncinate_Fasciculus_L.stat.txt	11
irregularity	6.07034,sub-10206_dwi.Uncinate_Fasciculus_L.stat.txt	12
area of end region 1(mm^2)	185.083,sub-10206_dwi.Uncinate_Fasciculus_L.stat.txt	13
radius of end region 1(mm)	4.1683,sub-10206_dwi.Uncinate_Fasciculus_L.stat.txt	14
irregularity of end region 1	0.294918,sub-10206_dwi.Uncinate_Fasciculus_L.stat.txt	15
area of end region 2(mm^2)	668.845,sub-10206_dwi.Uncinate_Fasciculus_L.stat.txt	16
radius of end region 2(mm)	6.85157,sub-10206_dwi.Uncinate_Fasciculus_L.stat.txt	17
irregularity of end region 2	0.220498,sub-10206_dwi.Uncinate_Fasciculus_L.stat.txt	18
qa	0.0886636,sub-10206_dwi.Uncinate_Fasciculus_L.stat.txt	19
dti_fa	0.353857,sub-10206_dwi.Uncinate_Fasciculus_L.stat.txt	20
md	0.990693,sub-10206_dwi.Uncinate_Fasciculus_L.stat.txt	21
ad	1.34696,sub-10206_dwi.Uncinate_Fasciculus_L.stat.txt	22
rd	0.81256,sub-10206_dwi.Uncinate_Fasciculus_L.stat.txt	23
iso	0.25551,sub-10206_dwi.Uncinate_Fasciculus_L.stat.txt	24
rdi	0.170205,sub-10206_dwi.Uncinate_Fasciculus_L.stat.txt	25
nrdi02L	0.218884,sub-10206_dwi.Uncinate_Fasciculus_L.stat.txt	26
nrdi04L	0.086253,sub-10206_dwi.Uncinate_Fasciculus_L.stat.txt	27
nrdi06L	0.0135423,sub-10206_dwi.Uncinate_Fasciculus_L.stat.txt	28
,sub-10206_dwi.Uncinate_Fasciculus_L.stat.txt	29
number of tracts	4153,sub-10217_dwi.Uncinate_Fasciculus_L.stat.txt	0
mean length(mm)	52.4803,sub-10217_dwi.Uncinate_Fasciculus_L.stat.txt	1
span(mm)	14.3708,sub-10217_dwi.Uncinate_Fasciculus_L.stat.txt	2
curl	3.65186,sub-10217_dwi.Uncinate_Fasciculus_L.stat.txt	3
elongation	3.3364,sub-10217_dwi.Uncinate_Fasciculus_L.stat.txt	4
diameter(mm)	15.7296,sub-10217_dwi.Uncinate_Fasciculus_L.stat.txt	5
volume(mm^3)	10198.2,sub-10217_dwi.Uncinate_Fasciculus_L.stat.txt	6
trunk volume(mm^3)	6449.51,sub-10217_dwi.Uncinate_Fasciculus_L.stat.txt	7
branch volume(mm^3)	3748.67,sub-10217_dwi.Uncinate_Fasciculus_L.stat.txt	8
total surface area(mm^2)	16447.9,sub-10217_dwi.Uncinate_Fasciculus_L.stat.txt	9
total radius of end regions(mm)	19.8186,sub-10217_dwi.Uncinate_Fasciculus_L.stat.txt	10
total area of end regions(mm^2)	1877.27,sub-10217_dwi.Uncinate_Fasciculus_L.stat.txt	11
irregularity	6.34229,sub-10217_dwi.Uncinate_Fasciculus_L.stat.txt	12
area of end region 1(mm^2)	890.161,sub-10217_dwi.Uncinate_Fasciculus_L.stat.txt	13
radius of end region 1(mm)	9.44216,sub-10217_dwi.Uncinate_Fasciculus_L.stat.txt	14
irregularity of end region 1	0.314647,sub-10217_dwi.Uncinate_Fasciculus_L.stat.txt	15
area of end region 2(mm^2)	987.109,sub-10217_dwi.Uncinate_Fasciculus_L.stat.txt	16
radius of end region 2(mm)	10.3764,sub-10217_dwi.Uncinate_Fasciculus_L.stat.txt	17
irregularity of end region 2	0.342671,sub-10217_dwi.Uncinate_Fasciculus_L.stat.txt	18
qa	0.133746,sub-10217_dwi.Uncinate_Fasciculus_L.stat.txt	19
dti_fa	0.292473,sub-10217_dwi.Uncinate_Fasciculus_L.stat.txt	20
md	0.950783,sub-10217_dwi.Uncinate_Fasciculus_L.stat.txt	21
ad	1.2172,sub-10217_dwi.Uncinate_Fasciculus_L.stat.txt	22
rd	0.817576,sub-10217_dwi.Uncinate_Fasciculus_L.stat.txt	23
iso	0.52465,sub-10217_dwi.Uncinate_Fasciculus_L.stat.txt	24
rdi	0.337336,sub-10217_dwi.Uncinate_Fasciculus_L.stat.txt	25
nrdi02L	0.433874,sub-10217_dwi.Uncinate_Fasciculus_L.stat.txt	26
nrdi04L	0.171007,sub-10217_dwi.Uncinate_Fasciculus_L.stat.txt	27
nrdi06L	0.0268986,sub-10217_dwi.Uncinate_Fasciculus_L.stat.txt	28
,sub-10217_dwi.Uncinate_Fasciculus_L.stat.txt	29
number of tracts	1867,sub-10225_dwi.Uncinate_Fasciculus_L.stat.txt	0
mean length(mm)	49.6928,sub-10225_dwi.Uncinate_Fasciculus_L.stat.txt	1
span(mm)	20.586,sub-10225_dwi.Uncinate_Fasciculus_L.stat.txt	2
curl	2.41391,sub-10225_dwi.Uncinate_Fasciculus_L.stat.txt	3
elongation	3.77995,sub-10225_dwi.Uncinate_Fasciculus_L.stat.txt	4
diameter(mm)	13.1464,sub-10225_dwi.Uncinate_Fasciculus_L.stat.txt	5
volume(mm^3)	6745.25,sub-10225_dwi.Uncinate_Fasciculus_L.stat.txt	6
trunk volume(mm^3)	3157.18,sub-10225_dwi.Uncinate_Fasciculus_L.stat.txt	7
branch volume(mm^3)	3588.06,sub-10225_dwi.Uncinate_Fasciculus_L.stat.txt	8
total surface area(mm^2)	15782,sub-10225_dwi.Uncinate_Fasciculus_L.stat.txt	9
