0,N
number of tracts	7675,sub-10206_dwi.Frontal_Aslant_Tract_R.stat.txt	0
mean length(mm)	71.325,sub-10206_dwi.Frontal_Aslant_Tract_R.stat.txt	1
span(mm)	25.5444,sub-10206_dwi.Frontal_Aslant_Tract_R.stat.txt	2
curl	2.79219,sub-10206_dwi.Frontal_Aslant_Tract_R.stat.txt	3
elongation	3.93166,sub-10206_dwi.Frontal_Aslant_Tract_R.stat.txt	4
diameter(mm)	18.1412,sub-10206_dwi.Frontal_Aslant_Tract_R.stat.txt	5
volume(mm^3)	18435.8,sub-10206_dwi.Frontal_Aslant_Tract_R.stat.txt	6
trunk volume(mm^3)	13911.6,sub-10206_dwi.Frontal_Aslant_Tract_R.stat.txt	7
branch volume(mm^3)	4524.25,sub-10206_dwi.Frontal_Aslant_Tract_R.stat.txt	8
total surface area(mm^2)	31524.8,sub-10206_dwi.Frontal_Aslant_Tract_R.stat.txt	9
total radius of end regions(mm)	19.6383,sub-10206_dwi.Frontal_Aslant_Tract_R.stat.txt	10
total area of end regions(mm^2)	3499.93,sub-10206_dwi.Frontal_Aslant_Tract_R.stat.txt	11
irregularity	7.75525,sub-10206_dwi.Frontal_Aslant_Tract_R.stat.txt	12
area of end region 1(mm^2)	1613.85,sub-10206_dwi.Frontal_Aslant_Tract_R.stat.txt	13
radius of end region 1(mm)	10.132,sub-10206_dwi.Frontal_Aslant_Tract_R.stat.txt	14
irregularity of end region 1	0.199839,sub-10206_dwi.Frontal_Aslant_Tract_R.stat.txt	15
area of end region 2(mm^2)	1886.08,sub-10206_dwi.Frontal_Aslant_Tract_R.stat.txt	16
radius of end region 2(mm)	9.50629,sub-10206_dwi.Frontal_Aslant_Tract_R.stat.txt	17
irregularity of end region 2	0.150526,sub-10206_dwi.Frontal_Aslant_Tract_R.stat.txt	18
qa	0.0882467,sub-10206_dwi.Frontal_Aslant_Tract_R.stat.txt	19
dti_fa	0.440807,sub-10206_dwi.Frontal_Aslant_Tract_R.stat.txt	20
md	0.786095,sub-10206_dwi.Frontal_Aslant_Tract_R.stat.txt	21
ad	1.15811,sub-10206_dwi.Frontal_Aslant_Tract_R.stat.txt	22
rd	0.600089,sub-10206_dwi.Frontal_Aslant_Tract_R.stat.txt	23
iso	0.217281,sub-10206_dwi.Frontal_Aslant_Tract_R.stat.txt	24
rdi	0.148309,sub-10206_dwi.Frontal_Aslant_Tract_R.stat.txt	25
nrdi02L	0.190076,sub-10206_dwi.Frontal_Aslant_Tract_R.stat.txt	26
