0,N
span(mm)	27.9605,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	3.66691,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	11.2122,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	9.14435,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	6733.5,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
trunk volume(mm^3)	5870.75,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	862.741,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	15443.2,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	11.0062,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	744.249,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	5.2431,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	288.886,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	5.12769,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	0.285935,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	455.363,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	5.87848,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	0.238409,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.103839,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
dti_fa	0.490113,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
md	0.822389,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	21
ad	1.29095,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	22
rd	0.588109,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	23
iso	0.212187,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	24
rdi	0.148809,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	25
nrdi02L	0.190768,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	26
nrdi04L	0.0748871,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	27
nrdi06L	0.0115173,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	28
,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	29
number of tracts	6324,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
