0,N
rdi	0.182265,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	25
nrdi02L	0.233518,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	26
nrdi04L	0.0916018,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	27
nrdi06L	0.0140316,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	28
,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	29
number of tracts	1817,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
mean length(mm)	88.6905,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	1
span(mm)	25.3184,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	3.50301,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	8.44954,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	10.4965,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	7674.58,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
trunk volume(mm^3)	4008.17,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	3666.41,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	17262.7,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	15.0719,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	769.71,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	5.90251,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	428.923,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	8.05597,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	0.475343,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	340.788,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	7.01598,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	0.453777,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.177576,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
dti_fa	0.38589,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
md	0.897214,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	21
ad	1.26303,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	22
rd	0.714305,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	23
iso	0.479085,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	24
rdi	0.320025,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	25
nrdi02L	0.411113,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	26
nrdi04L	0.161793,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	27
nrdi06L	0.0252282,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	28
,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	29
number of tracts	4830,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
mean length(mm)	92.1146,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	1
span(mm)	26.186,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	3.51771,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	7.76818,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	11.8579,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	10172.7,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
trunk volume(mm^3)	6320.24,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	3852.47,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	19985,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	17.8568,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	1332.79,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	5.82395,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	468.094,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	10.9156,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	0.799672,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	864.7,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	6.94121,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	0.175047,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.106365,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
dti_fa	0.448524,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
md	0.790062,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	21
ad	1.19033,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	22
rd	0.589925,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	23
iso	0.250928,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	24
rdi	0.172422,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	25
nrdi02L	0.220956,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	26
nrdi04L	0.0866978,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	27
nrdi06L	0.0133003,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	28
,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	29
number of tracts	521,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
mean length(mm)	72.4317,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	1
span(mm)	17.1749,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	4.21731,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	9.64063,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	7.51318,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	3211.19,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
trunk volume(mm^3)	2158.27,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	1052.92,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	8559.84,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	11.8633,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	314.347,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	5.00684,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	187.042,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	6.6917,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	0.752117,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	127.306,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	5.17156,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	0.660001,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.12878,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
dti_fa	0.33048,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
md	1.02459,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	21
ad	1.32972,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	22
rd	0.872026,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	23
iso	0.39126,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	24
rdi	0.258304,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	25
nrdi02L	0.332953,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	26
nrdi04L	0.131575,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	27
nrdi06L	0.0209783,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	28
,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	29
number of tracts	5480,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
mean length(mm)	99.1785,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	1
span(mm)	34.5467,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	2.87085,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	9.38404,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	10.5688,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	8700.86,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
trunk volume(mm^3)	7897.85,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	803.006,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	16378.4,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	15.2686,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	1268.16,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	4.97366,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	887.223,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	6.85108,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	0.166202,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	380.938,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	8.41756,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	0.584344,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.274271,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
dti_fa	0.459258,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
md	0.813888,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	21
ad	1.22914,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	22
rd	0.606261,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	23
iso	0.634441,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	24
rdi	0.436245,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	25
nrdi02L	0.55946,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	26
nrdi04L	0.219719,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	27
nrdi06L	0.0338763,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	28
,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	29
number of tracts	1213,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
mean length(mm)	80.1965,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	1
span(mm)	15.4253,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	5.19902,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	8.28055,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	9.68493,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	5907.97,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
trunk volume(mm^3)	415.213,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	5492.75,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	14134.9,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	17.1808,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	281.052,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	5.79282,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	115.554,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	8.49698,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	1.96288,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	165.497,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	8.68378,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	1.43145,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.0709254,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
dti_fa	0.341884,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
md	1.02508,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	21
ad	1.37287,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	22
rd	0.851182,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	23
iso	0.208253,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	24
rdi	0.136992,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	25
nrdi02L	0.176494,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	26
nrdi04L	0.0697025,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	27
nrdi06L	0.0110729,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	28
,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	29
number of tracts	5696,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
mean length(mm)	91.3075,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	1
span(mm)	28.3913,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	3.21604,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	6.91796,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	13.1986,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	12492.6,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
trunk volume(mm^3)	10732.9,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	1759.76,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	24615.1,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	20.5099,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	2232.75,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	6.50154,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	544.477,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	9.76769,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	0.550496,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	1688.27,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	10.7422,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	0.21473,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.181104,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
dti_fa	0.491744,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
md	0.749694,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	21
ad	1.15066,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	22
rd	0.549209,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	23
iso	0.419538,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	24
rdi	0.289227,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	25
nrdi02L	0.370084,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	26
nrdi04L	0.144946,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	27
nrdi06L	0.0220118,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	28
,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	29
number of tracts	6517,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
mean length(mm)	82.0806,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	1
span(mm)	23.2554,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	3.52953,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	5.74004,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	14.2997,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	13182,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
trunk volume(mm^3)	7606.03,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	5575.99,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	26850.7,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	23.4812,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	2420.77,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	7.28182,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	1472.83,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	10.6116,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	0.240193,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	947.938,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	12.8696,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	0.548906,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.141413,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
dti_fa	0.41706,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
md	0.820613,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	21
ad	1.16572,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	22
rd	0.648059,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	23
iso	0.377771,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	24
rdi	0.254695,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	25
nrdi02L	0.326839,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	26
nrdi04L	0.12846,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	27
nrdi06L	0.0198893,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	28
,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	29
number of tracts	6070,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
mean length(mm)	98.6788,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	1
span(mm)	31.7054,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	3.11237,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	7.06374,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	13.9698,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	15124.9,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
trunk volume(mm^3)	7108.56,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	8016.35,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	28905.3,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	21.719,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	1722.54,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	6.67442,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	842.177,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	13.5454,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	0.684435,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	880.368,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	8.17352,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	0.238399,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.131176,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
dti_fa	0.436164,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
md	0.824191,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	21
ad	1.21588,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	22
rd	0.628347,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	23
iso	0.3163,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	24
rdi	0.216191,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	25
nrdi02L	0.277233,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	26
nrdi04L	0.108869,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	27
nrdi06L	0.0167774,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	28
,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	29
number of tracts	6463,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
mean length(mm)	81.6964,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	1
span(mm)	22.1518,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	3.68803,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	5.68628,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	14.3673,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	13244.7,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
trunk volume(mm^3)	12664,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	580.711,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	23785.6,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	15.0615,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	2656.77,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	6.45041,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	1497.31,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	7.05674,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	0.104483,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	1159.46,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	8.00473,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	0.173615,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.196797,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
dti_fa	0.432764,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
md	0.803187,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	21
ad	1.18816,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	22
rd	0.610698,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	23
iso	0.488772,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	24
rdi	0.331195,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	25
nrdi02L	0.424588,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	26
nrdi04L	0.166678,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	27
