0,N
mean length(mm)	145.271,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	22.4639,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	6.46685,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	25.7559,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	5.64028,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	3629.68,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	2858.5,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	771.179,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	10633,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	9.48031,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	281.052,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	4.13073,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	122.409,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	5.47649,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.769731,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	158.643,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	4.00383,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.317454,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.17615,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.433517,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.904591,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.31156,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.701103,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.390276,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.268115,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.344512,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.135622,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0211799,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	4860,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	97.8746,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	29.6139,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.30503,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	7.91108,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	12.3718,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	11766,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	10990.4,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	775.586,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	21961.2,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	14.2827,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	1732.34,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	5.77301,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	559.166,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	5.67019,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.180636,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	1173.17,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	8.61247,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.198629,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.282465,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.473419,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.820005,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.25415,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.60293,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.613027,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.423885,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.543603,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.213489,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0329136,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-10290_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	103,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	50.6067,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	13.2801,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.81073,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	9.06482,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	5.58276,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	1238.78,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	469.073,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	769.71,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	5849.21,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	17.3461,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	96.9482,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	6.59008,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	36.2332,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	9.14804,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	7.25603,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	60.7151,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	8.19806,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	3.47756,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.0646927,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.327651,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.9024,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.19927,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.753965,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.215443,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.140637,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.180691,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.0711224,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0110992,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-10292_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	2661,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	90.9808,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	28.657,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.17482,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	8.1582,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	11.1521,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	8886.92,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	1616.78,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	7270.14,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	22670.2,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	20.5402,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	1270.12,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	7.11214,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	514.119,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	8.95186,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.48968,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	756,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	11.5884,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.55805,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.18974,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.492208,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.713091,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.10163,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.518819,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.446164,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.306923,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.392443,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.153567,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0232062,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-10304_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	2759,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	67.6125,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	21.0113,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.2179,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	6.01002,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	11.25,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	6720.77,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	4280.41,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	2440.35,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	14779.2,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	15.0803,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	1128.12,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	6.18477,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	559.166,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	7.25502,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.295724,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	568.959,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	7.82531,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.338121,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.144539,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.412434,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.75712,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.09192,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.589721,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.408386,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.272775,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.349441,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.137057,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0209794,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-10316_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	2448,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	89.2012,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	28.9839,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.07761,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	8.33847,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	10.6975,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	8017.33,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	4126.67,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	3890.66,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	18795.2,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	19.0747,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	1010.61,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	6.26964,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	428.923,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	11.3472,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.943074,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	581.689,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	7.72752,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.322507,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.127514,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.463279,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.760398,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.13454,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.573326,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.29823,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.206794,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.264854,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.103851,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0158719,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-10321_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	7190,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	86.2597,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	25.5009,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.38261,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	6.24904,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	13.8037,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	12908.8,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	9695.8,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	3213,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	25527.7,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	20.7748,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	2612.71,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	6.82434,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	1252.49,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	9.1129,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.208299,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	1360.21,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	11.6619,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.31411,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.199608,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.460511,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.764087,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.16597,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.563145,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.460984,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.317511,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.406659,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.159455,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0243706,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	1004,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	102.585,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	32.7303,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.13424,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	12.0277,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	8.529,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	5860.96,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	2423.71,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	3437.26,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	14602,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	16.7665,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	551.332,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	5.31228,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	273.218,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	11.6723,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	1.56658,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	278.114,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	5.09425,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.293149,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.225516,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.479122,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.834744,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.29746,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.603384,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.484167,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.334328,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.428766,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.168396,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0259668,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	591,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	99.3205,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	24.0696,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	4.12639,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	16.329,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	6.08244,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	2885.92,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	2102.5,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	783.42,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	7965.42,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	6.60127,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	269.301,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	4.19703,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	79.3213,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	2.00282,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.158871,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	189.979,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	4.59845,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.349676,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.154279,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.473854,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.803338,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.22021,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.594902,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.318352,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.223682,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.286731,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.112547,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0173003,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	1511,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	108.831,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	31.617,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.44215,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
