0,N
mean length(mm)	97.1242,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	31.4318,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.09,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	8.02809,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	12.098,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	11164.7,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	10442,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	722.705,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	21252.2,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	14.1998,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	1875.31,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	5.75721,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	774.607,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	5.23865,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.111303,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	1100.71,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	8.9612,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.229198,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.194605,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.451815,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.807171,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.20504,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.608235,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.44901,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.309405,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.396649,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.155708,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0239484,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
,sub-10225_dwi.Superior_Longitudinal_Fasciculus1_R.no_result.txt	0
number of tracts	5021,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	93.0938,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	28.1392,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.30833,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	6.7902,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	13.71,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	13743.1,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	10708.4,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	3034.77,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	27733.1,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	20.039,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	2168.11,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	6.91655,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	536.643,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	8.47649,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.420626,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	1631.47,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	11.5625,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.257441,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.17229,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.485332,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.820941,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.26321,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.599806,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.364442,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.253767,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.325482,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.127847,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0197276,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
,sub-10228_dwi.Superior_Longitudinal_Fasciculus1_R.no_result.txt	0
number of tracts	1934,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	114.809,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	24.3385,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	4.71719,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	11.1669,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	10.2812,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	9531.28,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	2043.75,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	7487.54,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	23323.4,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	24.816,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	958.71,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	6.2896,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	452.425,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	16.6813,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	1.93224,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	506.285,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	8.13476,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.410624,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.244831,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.406093,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.909729,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.29668,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.716251,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.583809,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.399374,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.513217,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.202057,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.031573,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	350,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	61.2914,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	15.3526,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.99225,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	8.85705,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	6.92007,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	2305.21,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	1205.49,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	1099.73,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	8298.38,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	16.5729,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	247.757,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	6.22777,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	129.264,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	10.0477,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	2.45362,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	118.492,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	6.52521,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	1.12888,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.11511,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.391942,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.814857,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.14401,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.650279,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.328631,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.219783,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.281924,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.110752,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0171016,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	201,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	93.1334,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	27.3858,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.40079,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	21.6441,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	4.30294,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	1354.34,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	875.472,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	478.866,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	4893.44,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	6.28273,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	169.415,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	3.88681,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	93.0311,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
