0,N
number of tracts	6777,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	0
mean length(mm)	74.764,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	1
span(mm)	29.5969,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	2
curl	2.52608,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	3
elongation	4.03394,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	4
diameter(mm)	18.5337,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	5
volume(mm^3)	20170.1,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	6
trunk volume(mm^3)	19827.4,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	7
branch volume(mm^3)	342.746,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	8
total surface area(mm^2)	37796.1,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	9
total radius of end regions(mm)	20.7117,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	10
total area of end regions(mm^2)	3358.91,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	11
irregularity	8.68243,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	12
area of end region 1(mm^2)	1466.95,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	13
radius of end region 1(mm)	9.31107,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	14
irregularity of end region 1	0.185666,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	15
area of end region 2(mm^2)	1891.96,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	16
radius of end region 2(mm)	11.4006,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	17
irregularity of end region 2	0.21582,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	18
qa	0.0955418,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	19
dti_fa	0.4517,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	20
md	0.814935,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	21
ad	1.22377,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	22
rd	0.610517,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	23
iso	0.226975,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	24
rdi	0.154525,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	25
nrdi02L	0.198173,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	26
nrdi04L	0.0778305,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	27
nrdi06L	0.0120009,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	28
,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	29
number of tracts	8641,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	0
mean length(mm)	77.4291,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	1
span(mm)	26.7479,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	2
curl	2.89478,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	3
elongation	3.97885,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	4
diameter(mm)	19.4602,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	5
volume(mm^3)	23029.6,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	6
trunk volume(mm^3)	19486.6,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	7
branch volume(mm^3)	3543.02,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	8
total surface area(mm^2)	40868.1,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	9
total radius of end regions(mm)	24.3516,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	10
total area of end regions(mm^2)	3891.64,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	11
irregularity	8.63344,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	12
area of end region 1(mm^2)	1638.33,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	13
radius of end region 1(mm)	12.7859,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	14
irregularity of end region 1	0.31348,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	15
area of end region 2(mm^2)	2253.31,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	16
radius of end region 2(mm)	11.5657,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	17
irregularity of end region 2	0.186497,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	18
qa	0.176714,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	19
dti_fa	0.409354,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	20
md	0.811418,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	21
ad	1.14899,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	22
rd	0.642634,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	23
iso	0.47762,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	24
rdi	0.320877,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	25
nrdi02L	0.411688,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	26
nrdi04L	0.161771,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	27
nrdi06L	0.0250151,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	28
,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	29
number of tracts	7238,sub-10225_dwi.Frontal_Aslant_Tract_L.stat.txt	0
mean length(mm)	83.0486,sub-10225_dwi.Frontal_Aslant_Tract_L.stat.txt	1
span(mm)	31.5448,sub-10225_dwi.Frontal_Aslant_Tract_L.stat.txt	2
curl	2.63272,sub-10225_dwi.Frontal_Aslant_Tract_L.stat.txt	3
elongation	4.74462,sub-10225_dwi.Frontal_Aslant_Tract_L.stat.txt	4
diameter(mm)	17.5037,sub-10225_dwi.Frontal_Aslant_Tract_L.stat.txt	5
volume(mm^3)	19984.1,sub-10225_dwi.Frontal_Aslant_Tract_L.stat.txt	6
trunk volume(mm^3)	6017.65,sub-10225_dwi.Frontal_Aslant_Tract_L.stat.txt	7
branch volume(mm^3)	13966.4,sub-10225_dwi.Frontal_Aslant_Tract_L.stat.txt	8
total surface area(mm^2)	42870.7,sub-10225_dwi.Frontal_Aslant_Tract_L.stat.txt	9
total radius of end regions(mm)	24.9353,sub-10225_dwi.Frontal_Aslant_Tract_L.stat.txt	10
total area of end regions(mm^2)	3137.6,sub-10225_dwi.Frontal_Aslant_Tract_L.stat.txt	11
irregularity	9.38745,sub-10225_dwi.Frontal_Aslant_Tract_L.stat.txt	12
area of end region 1(mm^2)	992.985,sub-10225_dwi.Frontal_Aslant_Tract_L.stat.txt	13
radius of end region 1(mm)	9.27278,sub-10225_dwi.Frontal_Aslant_Tract_L.stat.txt	14
irregularity of end region 1	0.272037,sub-10225_dwi.Frontal_Aslant_Tract_L.stat.txt	15
area of end region 2(mm^2)	2144.61,sub-10225_dwi.Frontal_Aslant_Tract_L.stat.txt	16
radius of end region 2(mm)	15.6625,sub-10225_dwi.Frontal_Aslant_Tract_L.stat.txt	17
irregularity of end region 2	0.359356,sub-10225_dwi.Frontal_Aslant_Tract_L.stat.txt	18
qa	0.237178,sub-10225_dwi.Frontal_Aslant_Tract_L.stat.txt	19
dti_fa	0.420579,sub-10225_dwi.Frontal_Aslant_Tract_L.stat.txt	20
md	0.839588,sub-10225_dwi.Frontal_Aslant_Tract_L.stat.txt	21
ad	1.20117,sub-10225_dwi.Frontal_Aslant_Tract_L.stat.txt	22
rd	0.658797,sub-10225_dwi.Frontal_Aslant_Tract_L.stat.txt	23
iso	0.597581,sub-10225_dwi.Frontal_Aslant_Tract_L.stat.txt	24
rdi	0.405731,sub-10225_dwi.Frontal_Aslant_Tract_L.stat.txt	25
nrdi02L	0.52071,sub-10225_dwi.Frontal_Aslant_Tract_L.stat.txt	26
nrdi04L	0.204684,sub-10225_dwi.Frontal_Aslant_Tract_L.stat.txt	27
nrdi06L	0.0317125,sub-10225_dwi.Frontal_Aslant_Tract_L.stat.txt	28
,sub-10225_dwi.Frontal_Aslant_Tract_L.stat.txt	29
number of tracts	7731,sub-10227_dwi.Frontal_Aslant_Tract_L.stat.txt	0
mean length(mm)	73.5577,sub-10227_dwi.Frontal_Aslant_Tract_L.stat.txt	1
span(mm)	26.0155,sub-10227_dwi.Frontal_Aslant_Tract_L.stat.txt	2
curl	2.82746,sub-10227_dwi.Frontal_Aslant_Tract_L.stat.txt	3
elongation	4.58835,sub-10227_dwi.Frontal_Aslant_Tract_L.stat.txt	4
diameter(mm)	16.0314,sub-10227_dwi.Frontal_Aslant_Tract_L.stat.txt	5
