0,N
nrdi06L	0.0323567,sub-10225_dwi.Arcuate_Fasciculus_L.stat.txt	28
,sub-10225_dwi.Arcuate_Fasciculus_L.stat.txt	29
number of tracts	9102,sub-10227_dwi.Arcuate_Fasciculus_L.stat.txt	0
mean length(mm)	104.098,sub-10227_dwi.Arcuate_Fasciculus_L.stat.txt	1
span(mm)	25.0641,sub-10227_dwi.Arcuate_Fasciculus_L.stat.txt	2
curl	4.15326,sub-10227_dwi.Arcuate_Fasciculus_L.stat.txt	3
elongation	8.43022,sub-10227_dwi.Arcuate_Fasciculus_L.stat.txt	4
diameter(mm)	12.3481,sub-10227_dwi.Arcuate_Fasciculus_L.stat.txt	5
volume(mm^3)	12466.2,sub-10227_dwi.Arcuate_Fasciculus_L.stat.txt	6
trunk volume(mm^3)	11106.9,sub-10227_dwi.Arcuate_Fasciculus_L.stat.txt	7
branch volume(mm^3)	1359.23,sub-10227_dwi.Arcuate_Fasciculus_L.stat.txt	8
total surface area(mm^2)	23727.8,sub-10227_dwi.Arcuate_Fasciculus_L.stat.txt	9
total radius of end regions(mm)	15.7534,sub-10227_dwi.Arcuate_Fasciculus_L.stat.txt	10
total area of end regions(mm^2)	2339.49,sub-10227_dwi.Arcuate_Fasciculus_L.stat.txt	11
irregularity	5.87579,sub-10227_dwi.Arcuate_Fasciculus_L.stat.txt	12
area of end region 1(mm^2)	1231.93,sub-10227_dwi.Arcuate_Fasciculus_L.stat.txt	13
radius of end region 1(mm)	9.51775,sub-10227_dwi.Arcuate_Fasciculus_L.stat.txt	14
irregularity of end region 1	0.231011,sub-10227_dwi.Arcuate_Fasciculus_L.stat.txt	15
area of end region 2(mm^2)	1107.56,sub-10227_dwi.Arcuate_Fasciculus_L.stat.txt	16
radius of end region 2(mm)	6.23567,sub-10227_dwi.Arcuate_Fasciculus_L.stat.txt	17
irregularity of end region 2	0.110293,sub-10227_dwi.Arcuate_Fasciculus_L.stat.txt	18
qa	0.198169,sub-10227_dwi.Arcuate_Fasciculus_L.stat.txt	19
dti_fa	0.507316,sub-10227_dwi.Arcuate_Fasciculus_L.stat.txt	20
md	0.754187,sub-10227_dwi.Arcuate_Fasciculus_L.stat.txt	21
ad	1.18227,sub-10227_dwi.Arcuate_Fasciculus_L.stat.txt	22
rd	0.540148,sub-10227_dwi.Arcuate_Fasciculus_L.stat.txt	23
iso	0.391357,sub-10227_dwi.Arcuate_Fasciculus_L.stat.txt	24
rdi	0.277593,sub-10227_dwi.Arcuate_Fasciculus_L.stat.txt	25
nrdi02L	0.355446,sub-10227_dwi.Arcuate_Fasciculus_L.stat.txt	26
nrdi04L	0.139332,sub-10227_dwi.Arcuate_Fasciculus_L.stat.txt	27
nrdi06L	0.0212601,sub-10227_dwi.Arcuate_Fasciculus_L.stat.txt	28
,sub-10227_dwi.Arcuate_Fasciculus_L.stat.txt	29
number of tracts	12362,sub-10228_dwi.Arcuate_Fasciculus_L.stat.txt	0
mean length(mm)	111.176,sub-10228_dwi.Arcuate_Fasciculus_L.stat.txt	1
span(mm)	28.4569,sub-10228_dwi.Arcuate_Fasciculus_L.stat.txt	2
curl	3.90682,sub-10228_dwi.Arcuate_Fasciculus_L.stat.txt	3
elongation	7.68475,sub-10228_dwi.Arcuate_Fasciculus_L.stat.txt	4
diameter(mm)	14.4671,sub-10228_dwi.Arcuate_Fasciculus_L.stat.txt	5
volume(mm^3)	18275.2,sub-10228_dwi.Arcuate_Fasciculus_L.stat.txt	6
trunk volume(mm^3)	15341.3,sub-10228_dwi.Arcuate_Fasciculus_L.stat.txt	7
branch volume(mm^3)	2933.91,sub-10228_dwi.Arcuate_Fasciculus_L.stat.txt	8
total surface area(mm^2)	30752.2,sub-10228_dwi.Arcuate_Fasciculus_L.stat.txt	9
total radius of end regions(mm)	18.3241,sub-10228_dwi.Arcuate_Fasciculus_L.stat.txt	10
total area of end regions(mm^2)	3175.79,sub-10228_dwi.Arcuate_Fasciculus_L.stat.txt	11
irregularity	6.08603,sub-10228_dwi.Arcuate_Fasciculus_L.stat.txt	12
area of end region 1(mm^2)	2186.72,sub-10228_dwi.Arcuate_Fasciculus_L.stat.txt	13
radius of end region 1(mm)	11.9798,sub-10228_dwi.Arcuate_Fasciculus_L.stat.txt	14
irregularity of end region 1	0.206185,sub-10228_dwi.Arcuate_Fasciculus_L.stat.txt	15
area of end region 2(mm^2)	989.068,sub-10228_dwi.Arcuate_Fasciculus_L.stat.txt	16
radius of end region 2(mm)	6.34431,sub-10228_dwi.Arcuate_Fasciculus_L.stat.txt	17
irregularity of end region 2	0.127848,sub-10228_dwi.Arcuate_Fasciculus_L.stat.txt	18
qa	0.286656,sub-10228_dwi.Arcuate_Fasciculus_L.stat.txt	19
dti_fa	0.479207,sub-10228_dwi.Arcuate_Fasciculus_L.stat.txt	20
md	0.812116,sub-10228_dwi.Arcuate_Fasciculus_L.stat.txt	21
ad	1.25747,sub-10228_dwi.Arcuate_Fasciculus_L.stat.txt	22
rd	0.589438,sub-10228_dwi.Arcuate_Fasciculus_L.stat.txt	23
iso	0.556491,sub-10228_dwi.Arcuate_Fasciculus_L.stat.txt	24
rdi	0.394482,sub-10228_dwi.Arcuate_Fasciculus_L.stat.txt	25
nrdi02L	0.505475,sub-10228_dwi.Arcuate_Fasciculus_L.stat.txt	26
nrdi04L	0.198313,sub-10228_dwi.Arcuate_Fasciculus_L.stat.txt	27
nrdi06L	0.030404,sub-10228_dwi.Arcuate_Fasciculus_L.stat.txt	28
,sub-10228_dwi.Arcuate_Fasciculus_L.stat.txt	29
number of tracts	11527,sub-10235_dwi.Arcuate_Fasciculus_L.stat.txt	0
mean length(mm)	112.88,sub-10235_dwi.Arcuate_Fasciculus_L.stat.txt	1
span(mm)	28.5092,sub-10235_dwi.Arcuate_Fasciculus_L.stat.txt	2
curl	3.95942,sub-10235_dwi.Arcuate_Fasciculus_L.stat.txt	3
elongation	6.38062,sub-10235_dwi.Arcuate_Fasciculus_L.stat.txt	4
diameter(mm)	17.691,sub-10235_dwi.Arcuate_Fasciculus_L.stat.txt	5
